fips,life_expectancy,le_ci_low,le_ci_high,premature_mortality,drug_overdose_deaths,child_mortality
37015,75.607718212,74.146391074,77.069045349,10941.756918,17.641351328,82.663259938
37017,74.653444764,73.560963676,75.745925853,11629.928435,35.4168564,51.750267992
37019,79.208326992,78.635690808,79.780963176,8385.2200579,25.898092174,40.49258033
37021,78.395526373,78.041087802,78.749964944,7806.4943404,39.297192675,39.753320187
37023,76.485345042,75.85178478,77.118905304,9572.8813154,31.700978676,68.380134085
37025,78.443265056,78.051464469,78.835065642,6849.3767843,25.41299975,39.318959053
37027,75.381342522,74.755338838,76.007346207,9566.7264551,26.795827971,63.775510204
37029,79.582465591,78.090281242,81.074649941,5454.8651493,,
37031,77.06238641,76.296080289,77.828692532,9534.6458019,34.043777421,60.169720107
37033,75.550037007,74.297519539,76.802554476,10128.274239,23.617979187,71.174377224
37035,76.721504081,76.294928805,77.148079357,8229.9079177,20.06227665,43.437702502
37037,80.494132,79.744025533,81.244238467,7039.6138203,18.356263739,54.335829385
37039,76.333030435,75.03836033,77.62770054,10907.105873,30.208672213,104.89877268
37041,75.62529573,74.043469143,77.207122317,10158.823299,23.930887597,
37043,78.076738719,76.182855289,79.970622149,9219.4488137,,
37045,73.757172185,73.202814001,74.311530369,10928.504289,17.649434709,64.852345107
37047,73.489532335,72.670185819,74.308878851,12234.766861,25.916572744,71.15902965
37049,75.668502407,75.08412812,76.252876694,10255.463527,41.138289953,65.70004531
37051,75.659337914,75.324668722,75.994007107,9933.720115,33.06104443,72.63175097
37053,78.139330797,77.157990525,79.120671069,6698.156971,30.994075363,
37055,78.926912619,78.008477213,79.845348025,7034.0465417,43.221048651,
37057,75.765448103,75.316951529,76.213944676,9582.3622741,36.150058496,49.960989364
37059,78.372758545,77.427605178,79.317911912,7810.5004702,21.728165134,66.725978648
37061,77.76042458,76.878487673,78.642361486,9670.5956573,17.007670459,60.540232546
37063,79.962184498,79.62005713,80.304311865,6380.0982713,17.710425226,59.261285286
37065,71.92345437,71.042917433,72.803991307,14319.687085,31.107021114,92.017975605
37067,77.717301264,77.418710173,78.015892355,8066.230595,28.814996372,61.497433775
37069,77.407375778,76.684339505,78.130412051,8482.929124,27.259162905,53.204755175
37071,75.059290808,74.684081816,75.4344998,9646.793967,20.031367638,57.682744903
37073,75.966838188,74.053295732,77.880380643,10947.571876,,
37075,76.190058772,74.239116766,78.141000778,10234.664934,,
37077,77.675735896,76.93104896,78.420422832,7811.0361403,16.018205519,38.665825515
37079,76.856243296,75.555883348,78.156603245,8151.2692666,19.044898348,59.192612762
37081,77.762707478,77.50512191,78.020293045,8166.0072349,25.009851896,67.112681983
37083,72.875219236,71.989600458,73.760838013,13212.178172,32.652952427,76.937424228
37085,76.452233906,75.94557095,76.958896863,8591.0640906,28.729422858,60.041600252
37087,76.47637484,75.732936845,77.219812834,9378.2646694,32.575029371,42.117396702
37089,79.029729604,78.491022057,79.568437152,7431.5577391,21.269958311,46.429986977
